,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158832,17307161,House,8500000,Lahore,Punjab,31.588479,74.400444,4,4,2019-07-17,Mian Associates & Builders,Aqeel Ahmed Mian,1361.255,2019,7,2019-07-01
158833,17307275,House,25000000,Lahore,Punjab,31.452023,74.26255,5,5,2019-07-17,Hira Estate & Builders,Usman Malik,2722.51,2019,7,2019-07-01
158834,17307280,House,19200000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158835,17307281,House,19000000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158836,17307287,House,19300000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158837,17307290,House,34000000,Lahore,Punjab,31.434156,74.272113,5,5,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,5445.0,2019,7,2019-07-01
158838,17307292,House,34000000,Lahore,Punjab,31.438257,74.275374,5,5,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,5445.0,2019,7,2019-07-01
158839,17307293,House,31000000,Lahore,Punjab,31.434156,74.272113,5,5,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,5445.0,2019,7,2019-07-01
158840,17307298,House,29000000,Lahore,Punjab,31.432105,74.266963,5,5,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,5445.0,2019,7,2019-07-01
158841,17307299,House,17000000,Lahore,Punjab,31.424342,74.264045,5,5,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,2722.51,2019,7,2019-07-01
158842,17307301,House,18800000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158843,17307304,House,16500000,Lahore,Punjab,31.421046,74.263186,5,5,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,2722.51,2019,7,2019-07-01
158844,17307306,House,9000000,Lahore,Punjab,31.432764,74.25941,3,3,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,1361.255,2019,7,2019-07-01
158845,17307311,House,10500000,Lahore,Punjab,31.431519,74.255719,4,4,2019-07-17,Omair Estate & Builders,Zahid Rashid Toor,1361.255,2019,7,2019-07-01
