,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
102476,16924067,House,24800000,Lahore,Punjab,31.446824,74.404736,6,4,2019-06-26,Azaan Associates,Basharat Ishrat,5445.0,2019,6,2019-06-01
102478,16924163,House,3800000,Lahore,Punjab,31.362173,74.282136,2,2,2019-06-25,Imran Estate,M . Imran Ali,1361.255,2019,6,2019-06-01
102479,16924164,House,4000000,Lahore,Punjab,31.365932,74.271428,2,2,2019-06-25,Imran Estate,M . Imran Ali,1361.255,2019,6,2019-06-01
102480,16924165,House,6000000,Lahore,Punjab,31.511935,74.433575,3,3,2019-06-25,Imran Estate,M . Imran Ali,1361.255,2019,6,2019-06-01
102482,16924264,House,19900000,Lahore,Punjab,31.446824,74.404736,5,4,2019-06-25,Syed Brothers (Pvt) Ltd. (Ph: 5 DHA),Asif Ali,54450.0,2019,6,2019-06-01
102484,16924413,House,55000000,Lahore,Punjab,31.5288,74.39312,6,6,2019-06-25,Panjtan Estate,Maqsood Sindhu,5445.0,2019,6,2019-06-01
102485,16924424,House,22200000,Lahore,Punjab,31.446824,74.404736,6,4,2019-06-25,Syed Brothers (Pvt) Ltd. (Ph: 5 DHA),Asif Ali,3267.012,2019,6,2019-06-01
102486,16924474,House,8200000,Lahore,Punjab,31.409436,74.188914,4,4,2019-06-25,Hasnain Estate & Builders,Ijaz Hussian,816.7529999999999,2019,6,2019-06-01
102487,16924482,House,16500000,Lahore,Punjab,31.374451,74.183121,6,5,2019-06-25,Hassan Associates & Developers,Adil Naeem,2722.51,2019,6,2019-06-01
102488,16924499,House,21000000,Lahore,Punjab,31.356129,74.256206,5,5,2019-06-25,N M Associates,Waqar Butt,2722.51,2019,6,2019-06-01
102489,16924500,House,79000000,Lahore,Punjab,31.458686,74.406624,6,5,2019-06-25,Panjtan Estate,Maqsood Sindhu,5445.0,2019,6,2019-06-01
102490,16924554,House,18500000,Lahore,Punjab,31.533849,74.409633,4,3,2019-06-25,Findwell Real Estate & Developers,Usman Qureshi,2722.51,2019,6,2019-06-01
102491,16924574,House,32500000,Lahore,Punjab,31.475378,74.373808,5,5,2019-06-25,M. R Property,Aslam,2722.51,2019,6,2019-06-01
102492,16924635,House,9600000,Lahore,Punjab,31.374249,74.176404,4,3,2019-06-25,Hassan Associates & Developers,Adil Naeem,1361.255,2019,6,2019-06-01
102493,16924715,Flat,16000000,Lahore,Punjab,31.460187,74.432459,3,3,2019-06-26,Sundar Estate & Property Consultants,Muhammad Bilal,2994.7609999999995,2019,6,2019-06-01
102494,16924741,House,57500000,Lahore,Punjab,31.455721,74.386368,6,5,2019-06-26,Panjtan Estate,Maqsood Sindhu,5445.0,2019,6,2019-06-01
102496,16922645,Flat,2700000,Rawalpindi,Punjab,33.521053,73.107756,2,2,2019-06-27,R B Real Estate & Builders,Raja Khalid Ali,10617.789,2019,6,2019-06-01
102497,16923555,House,8000000,Rawalpindi,Punjab,33.530556,73.061264,0,2,2019-06-27,Taha Property,"Malik Matiullah,",2722.51,2019,6,2019-06-01
102498,16923556,House,9000000,Rawalpindi,Punjab,33.530556,73.061264,0,3,2019-06-27,Taha Property,"Malik Matiullah,",2722.51,2019,6,2019-06-01
102499,16923557,House,12000000,Rawalpindi,Punjab,33.530556,73.061264,0,6,2019-06-27,Taha Property,"Malik Matiullah,",2722.51,2019,6,2019-06-01
102500,16923558,House,14500000,Rawalpindi,Punjab,33.530556,73.061264,0,6,2019-06-27,Taha Property,"Malik Matiullah,",2722.51,2019,6,2019-06-01
102501,16923559,House,14500000,Rawalpindi,Punjab,33.530556,73.061264,0,6,2019-06-27,Taha Property,"Malik Matiullah,",2722.51,2019,6,2019-06-01
102502,16923560,House,15500000,Rawalpindi,Punjab,33.530556,73.061264,0,6,2019-06-27,Taha Property,"Malik Matiullah,",2722.51,2019,6,2019-06-01
102503,16923561,House,15000000,Rawalpindi,Punjab,33.530556,73.061264,0,6,2019-06-27,Taha Property,"Malik Matiullah,",5445.0,2019,6,2019-06-01
102504,16923562,House,12000000,Rawalpindi,Punjab,33.530556,73.061264,0,3,2019-06-27,Taha Property,"Malik Matiullah,",5445.0,2019,6,2019-06-01
102505,16923600,House,13500000,Rawalpindi,Punjab,33.495991,73.100195,0,5,2019-06-27,Land Hub Property,Amjad Khatak,1905.757,2019,6,2019-06-01
102506,16923601,House,18500000,Rawalpindi,Punjab,33.490372,73.066657,0,5,2019-06-27,Land Hub Property,Amjad Khatak,2722.51,2019,6,2019-06-01
102507,16923602,House,5900000,Rawalpindi,Punjab,33.482606,73.092105,0,2,2019-06-27,Land Hub Property,Amjad Khatak,1361.255,2019,6,2019-06-01
102508,16923603,House,21000000,Rawalpindi,Punjab,33.555594,73.133669,0,5,2019-06-27,Land Hub Property,Amjad Khatak,2994.7609999999995,2019,6,2019-06-01
102509,16923604,House,9600000,Rawalpindi,Punjab,33.49116,73.093243,0,3,2019-06-27,Land Hub Property,Amjad Khatak,1361.255,2019,6,2019-06-01
102510,16923605,House,25000000,Rawalpindi,Punjab,33.530556,73.061264,0,5,2019-06-27,Land Hub Property,Amjad Khatak,5445.0,2019,6,2019-06-01
102511,16923606,Flat,6800000,Rawalpindi,Punjab,33.531951,73.115215,0,1,2019-06-27,Land Hub Property,Amjad Khatak,13340.299,2019,6,2019-06-01
102512,16923607,House,16500000,Rawalpindi,Punjab,33.500966,73.078687,0,5,2019-06-27,Land Hub Property,Amjad Khatak,2722.51,2019,6,2019-06-01
102513,16923608,House,11500000,Rawalpindi,Punjab,33.50136,73.108691,0,3,2019-06-27,Land Hub Property,Amjad Khatak,2178.008,2019,6,2019-06-01
102514,16923609,House,9500000,Rawalpindi,Punjab,33.50136,73.108691,0,3,2019-06-27,Land Hub Property,Amjad Khatak,1361.255,2019,6,2019-06-01
102515,16923610,House,55000000,Rawalpindi,Punjab,33.55892,73.118649,0,3,2019-06-27,Land Hub Property,Amjad Khatak,103455.0,2019,6,2019-06-01
102516,16923611,House,18500000,Rawalpindi,Punjab,33.485576,73.08393,0,5,2019-06-27,Land Hub Property,Amjad Khatak,2722.51,2019,6,2019-06-01
102517,16923755,House,18000000,Rawalpindi,Punjab,33.497172,73.080883,6,5,2019-06-27,Karachi Real Estate,ahsan mehmood,2178.008,2019,6,2019-06-01
102518,16923850,House,11000000,Rawalpindi,Punjab,33.49116,73.093243,4,4,2019-06-27,Karachi Real Estate,ahsan mehmood,1361.255,2019,6,2019-06-01
102519,16923942,House,15000000,Rawalpindi,Punjab,33.495991,73.100195,5,5,2019-06-27,Karachi Real Estate,ahsan mehmood,1905.757,2019,6,2019-06-01
102520,16924086,House,100000000,Rawalpindi,Punjab,33.59859301,73.01800346,0,0,2019-06-26,Raabta Property Center And Builders,Muhammad Zahid,103455.0,2019,6,2019-06-01
102521,16924411,House,26500000,Rawalpindi,Punjab,33.549693,73.130536,7,5,2019-07-03,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51,2019,7,2019-07-01
102522,16921941,House,13500000,Karachi,Sindh,24.90310362,67.18730569,4,5,2019-06-27,Legel Estate Builders,Hassan 03171253559,14157.052,2019,6,2019-06-01
102523,16921944,Penthouse,12000000,Karachi,Sindh,24.821094,67.043195,0,2,2019-06-28,Al Jannat Real Estate,Abdul Basit,14429.302999999998,2019,6,2019-06-01
102524,16922062,Upper Portion,18500000,Karachi,Sindh,24.948476,67.059474,4,3,2019-06-28,Hopewell Enterprises,Mohammad Tanvir,30492.112,2019,6,2019-06-01
102525,16922150,Flat,30000000,Karachi,Sindh,24.825028,67.031579,0,4,2019-06-27,Shani Wala Real Estate,Adil khan,26680.598,2019,6,2019-06-01
102526,16922187,House,18000000,Karachi,Sindh,24.894076,67.027715,4,4,2019-06-26,Al Hanan Builders & Developers,ALHANAN BUILDERS,2178.008,2019,6,2019-06-01
102527,16922298,House,14500000,Karachi,Sindh,24.894076,67.027715,4,4,2019-06-27,Al Hanan Builders & Developers,ALHANAN BUILDERS,3811.514,2019,6,2019-06-01
102528,16922316,Flat,41500000,Karachi,Sindh,24.937425,67.182856,4,4,2019-07-03,Chuhan Associates,Uzair Chuhan,36209.383,2019,7,2019-07-01
102529,16922557,House,14000000,Karachi,Sindh,25.009119,67.307179,3,3,2019-06-27,Jaidad Group,Muhammad Rizwan,1633.506,2019,6,2019-06-01
102530,16922839,House,105000000,Karachi,Sindh,24.805045,67.064323,6,6,2019-06-27,Aklins Properties,Rauf Karim,5445.0,2019,6,2019-06-01
102531,16922867,House,220000000,Karachi,Sindh,24.782215,67.074537,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102532,16922868,House,220000000,Karachi,Sindh,24.832117,67.063637,0,8,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102533,16922869,House,310000000,Karachi,Sindh,24.824093,67.061405,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,21780.0,2019,6,2019-06-01
102534,16922870,House,350000000,Karachi,Sindh,24.834337,67.055397,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,21780.0,2019,6,2019-06-01
102535,16922871,House,155000000,Karachi,Sindh,24.834337,67.055397,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102536,16922872,House,100000000,Karachi,Sindh,24.824093,67.061405,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102537,16922873,House,97500000,Karachi,Sindh,24.824093,67.061405,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102538,16922874,House,160000000,Karachi,Sindh,24.821639,67.071691,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,5445.0,2019,6,2019-06-01
102539,16922875,House,145000000,Karachi,Sindh,24.821639,67.071691,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,5445.0,2019,6,2019-06-01
102540,16922876,House,110000000,Karachi,Sindh,24.805045,67.064323,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,5445.0,2019,6,2019-06-01
102541,16922877,House,150000000,Karachi,Sindh,24.821639,67.071691,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,5445.0,2019,6,2019-06-01
102542,16922879,Flat,25000000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,24230.339,2019,6,2019-06-01
102543,16922880,House,155000000,Karachi,Sindh,24.810265,67.043552,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102544,16922881,House,115000000,Karachi,Sindh,24.805045,67.064323,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,5445.0,2019,6,2019-06-01
102545,16922882,House,62500000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102546,16922883,House,135000000,Karachi,Sindh,24.810265,67.043552,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,70785.0,2019,6,2019-06-01
102547,16922884,House,145000000,Karachi,Sindh,24.810265,67.043552,0,9,2019-06-27,Z. S Associates,Abdul Latif Shah,70785.0,2019,6,2019-06-01
102548,16922885,House,92500000,Karachi,Sindh,24.821639,67.071691,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,5445.0,2019,6,2019-06-01
102549,16922886,House,280000000,Karachi,Sindh,24.805045,67.064323,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102550,16922887,House,320000000,Karachi,Sindh,24.824093,67.061405,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,21780.0,2019,6,2019-06-01
102551,16922888,House,320000000,Karachi,Sindh,24.834337,67.055397,0,12,2019-06-27,Z. S Associates,Abdul Latif Shah,21780.0,2019,6,2019-06-01
102552,16922889,House,92500000,Karachi,Sindh,24.824093,67.061405,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102554,16923373,Upper Portion,7500000,Karachi,Sindh,24.922442,67.073629,0,3,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102555,16923378,House,16500000,Karachi,Sindh,24.922442,67.073629,0,2,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102556,16923379,Upper Portion,9000000,Karachi,Sindh,24.922442,67.073629,0,3,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102557,16923380,House,12500000,Karachi,Sindh,24.922442,67.073629,0,0,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102558,16923381,House,13500000,Karachi,Sindh,24.922442,67.073629,0,0,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102560,16923496,House,78000000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102561,16923497,House,98000000,Karachi,Sindh,24.824093,67.061405,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102562,16923498,House,59000000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102563,16923499,House,74000000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102564,16923500,House,62500000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102565,16923501,House,150000000,Karachi,Sindh,24.834337,67.055397,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102566,16923502,House,65000000,Karachi,Sindh,24.824093,67.061405,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102567,16923503,House,95000000,Karachi,Sindh,24.824093,67.061405,0,5,2019-06-27,Z. S Associates,Abdul Latif Shah,3267.012,2019,6,2019-06-01
102568,16923504,House,135000000,Karachi,Sindh,24.810265,67.043552,0,6,2019-06-27,Z. S Associates,Abdul Latif Shah,70785.0,2019,6,2019-06-01
102569,16923505,House,112500000,Karachi,Sindh,24.842983,67.065697,0,4,2019-06-27,Z. S Associates,Abdul Latif Shah,10890.0,2019,6,2019-06-01
102570,16923809,House,15500000,Karachi,Sindh,24.922442,67.073629,0,2,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102571,16923810,House,16000000,Karachi,Sindh,24.922442,67.073629,0,4,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102572,16923811,Flat,9500000,Karachi,Sindh,24.918394,67.066677,0,3,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,14429.302999999998,2019,6,2019-06-01
102573,16923812,Lower Portion,4500000,Karachi,Sindh,24.922442,67.073629,0,2,2019-07-02,Bin Shamsi Real Estate,Usman Ghani,1089.004,2019,7,2019-07-01
102574,16923813,Lower Portion,8500000,Karachi,Sindh,24.922442,67.073629,0,3,2019-06-26,Bin Shamsi Real Estate,Usman Ghani,16062.809,2019,6,2019-06-01
102575,16923814,Lower Portion,8000000,Karachi,Sindh,24.922442,67.073629,0,3,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,16062.809,2019,6,2019-06-01
102576,16923815,Lower Portion,14500000,Karachi,Sindh,24.942561,67.042007,0,4,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,26136.096,2019,6,2019-06-01
102577,16923817,House,16000000,Karachi,Sindh,25.022481,67.129082,0,4,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,2178.008,2019,6,2019-06-01
102578,16923818,Flat,9000000,Karachi,Sindh,25.027284,67.131308,0,3,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,19329.821,2019,6,2019-06-01
102579,16923819,Flat,6000000,Karachi,Sindh,25.027284,67.131308,0,2,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,1089.004,2019,6,2019-06-01
102580,16923820,Flat,4400000,Karachi,Sindh,25.027284,67.131308,0,2,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,8984.283,2019,6,2019-06-01
102581,16923821,Flat,7000000,Karachi,Sindh,25.027284,67.131308,0,2,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,10345.538,2019,6,2019-06-01
102582,16923822,Lower Portion,8000000,Karachi,Sindh,24.92863,67.064466,0,0,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102583,16923823,Lower Portion,9500000,Karachi,Sindh,24.92863,67.064466,0,0,2019-06-27,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102584,16924122,House,99000000,Karachi,Sindh,24.819653,67.077749,6,6,2019-06-27,Jumeirah Estate,Habib Ur Rehman,5445.0,2019,6,2019-06-01
102585,16924477,House,90000000,Karachi,Sindh,24.81072048,67.0640299,0,0,2019-06-27,M N B Associates,MNasir,5445.0,2019,6,2019-06-01
102587,16921459,House,200000,Karachi,Sindh,24.794215,67.06461,6,5,2019-07-03,Property Prime Time,Shoaib Asif,5445.0,2019,7,2019-07-01
102590,16922101,House,185000,Karachi,Sindh,24.834337,67.055397,5,4,2019-06-26,Realty Tribe,Isaac K Mall,5445.0,2019,6,2019-06-01
102591,16922206,Flat,50000,Karachi,Sindh,24.876976,67.069237,3,3,2019-07-11,Karsaz Associates,Sheikh Tariq Kamal,20691.076,2019,7,2019-07-01
102592,16922661,Flat,130000,Karachi,Sindh,24.841065,67.037424,5,4,2019-06-26,Falcon Associates,Muhammad Umair Kapadia,29130.857,2019,6,2019-06-01
102593,16923017,Flat,13000,Karachi,Sindh,24.853864,67.075562,1,2,2019-06-26,Fatima Real Estate,Riaz Mahmood,8712.032,2019,6,2019-06-01
102594,16923374,Lower Portion,25000,Karachi,Sindh,24.922442,67.073629,0,2,2019-06-26,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102595,16923375,Upper Portion,25000,Karachi,Sindh,24.922442,67.073629,0,2,2019-06-26,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102596,16923376,House,55000,Karachi,Sindh,24.922442,67.073629,0,2,2019-06-26,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102597,16923377,Upper Portion,27000,Karachi,Sindh,24.922442,67.073629,0,0,2019-06-26,Bin Shamsi Real Estate,Usman Ghani,13068.048,2019,6,2019-06-01
102598,16923627,House,55000,Karachi,Sindh,25.005301,67.30881,4,4,2019-06-26,Shackles Enterprises,Jawad Khan,2178.008,2019,6,2019-06-01
102601,16921627,House,120000,Islamabad,Islamabad Capital,33.540894,73.095732,6,5,2019-06-28,Mian Consultants Real Estate,Aizaz RAza,5445.0,2019,6,2019-06-01
102602,16922057,Upper Portion,70000,Islamabad,Islamabad Capital,33.698137,72.978215,3,3,2019-06-27,Master Mind Cooperation,Atiq Imran,5989.521999999999,2019,6,2019-06-01
102603,16922173,House,80000,Islamabad,Islamabad Capital,33.67164,72.991655,3,3,2019-06-27,Upfront Estate,Upfront Estate,2178.008,2019,6,2019-06-01
102604,16922341,Flat,100000,Islamabad,Islamabad Capital,33.691065,73.016382,1,1,2019-06-27,Roshan Marketing & Sales,Shoaib Zamir,7078.526,2019,6,2019-06-01
102606,16922576,Lower Portion,40000,Islamabad,Islamabad Capital,33.663818,72.99526,2,2,2019-06-27,Upfront Estate,Upfront Estate,1361.255,2019,6,2019-06-01
102607,16922767,Upper Portion,40000,Islamabad,Islamabad Capital,33.694959,72.970419,2,2,2019-06-27,Upfront Estate,Upfront Estate,1905.757,2019,6,2019-06-01
102609,16923065,House,500000,Islamabad,Islamabad Capital,33.713238,73.084788,0,0,2019-06-27,Oversease Real Estate Associates,Shahid Iqbal,130680.0,2019,6,2019-06-01
102610,16923180,House,35000,Islamabad,Islamabad Capital,33.713488,73.16268,4,4,2019-06-27,Madina Property Advisor,Fareed Abbassi,1361.255,2019,6,2019-06-01
102611,16923182,House,40000,Islamabad,Islamabad Capital,33.713488,73.16268,4,4,2019-06-27,Madina Property Advisor,Fareed Abbassi,27225.0,2019,6,2019-06-01
102612,16923183,House,300000,Islamabad,Islamabad Capital,33.713488,73.16268,5,5,2019-06-27,Madina Property Advisor,Fareed Abbassi,16335.0,2019,6,2019-06-01
102613,16923186,House,145000,Islamabad,Islamabad Capital,33.713488,73.16268,5,5,2019-06-27,Madina Property Advisor,Fareed Abbassi,5445.0,2019,6,2019-06-01
102614,16923187,House,130000,Islamabad,Islamabad Capital,33.713488,73.16268,5,5,2019-06-27,Madina Property Advisor,Fareed Abbassi,5445.0,2019,6,2019-06-01
102615,16923204,Lower Portion,30000,Islamabad,Islamabad Capital,33.713488,73.16268,3,3,2019-06-27,Madina Property Advisor,Fareed Abbassi,3811.514,2019,6,2019-06-01
102616,16923205,House,25000,Islamabad,Islamabad Capital,33.713488,73.16268,2,2,2019-06-27,Madina Property Advisor,Fareed Abbassi,2722.51,2019,6,2019-06-01
102617,16923206,House,30000,Islamabad,Islamabad Capital,33.713488,73.16268,2,2,2019-06-27,Madina Property Advisor,Fareed Abbassi,2722.51,2019,6,2019-06-01
102618,16923214,Lower Portion,30000,Islamabad,Islamabad Capital,33.713488,73.16268,2,2,2019-06-27,Madina Property Advisor,Fareed Abbassi,3539.263,2019,6,2019-06-01
102619,16923215,Upper Portion,15000,Islamabad,Islamabad Capital,33.713488,73.16268,2,2,2019-06-27,Madina Property Advisor,Fareed Abbassi,2178.008,2019,6,2019-06-01
102621,16924113,Upper Portion,85000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-06-27,Al-Hafiz Estate,Basharat Hussain Qureshi,70785.0,2019,6,2019-06-01
102622,16924265,Upper Portion,90000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-06-27,Al-Hafiz Estate,Basharat Hussain Qureshi,70785.0,2019,6,2019-06-01
102623,16924623,Lower Portion,180000,Islamabad,Islamabad Capital,33.532452,73.104401,4,4,2019-06-27,Sidra Estate & Builders,Raja Khalid Mehmood,5445.0,2019,6,2019-06-01
102624,16924719,House,300000,Islamabad,Islamabad Capital,33.713131,73.038383,6,5,2019-06-27,Evershine Property Adviser,Sajid Aurangzeb,70785.0,2019,6,2019-06-01
102625,16924722,Upper Portion,55000,Islamabad,Islamabad Capital,33.525225,73.107147,4,4,2019-07-01,Sidra Estate & Builders,Raja Khalid Mehmood,5445.0,2019,7,2019-07-01
102626,16925099,House,180000000,Islamabad,Islamabad Capital,33.716665,73.042209,6,5,2019-06-26,Professional Estate Managers,Rana Mussyeb Ali khan,136125.0,2019,6,2019-06-01
102628,16925288,House,150000000,Islamabad,Islamabad Capital,33.683425,72.980804,9,9,2019-06-26,SJ Properties,Mian Irfan Saeed,87120.0,2019,6,2019-06-01
102629,16925387,House,16000000,Islamabad,Islamabad Capital,33.645957,72.962472,4,4,2019-06-26,Anzo Properties,Adeel Khokhar,13340.299,2019,6,2019-06-01
102632,16925810,Flat,6000000,Islamabad,Islamabad Capital,33.650458,72.956636,2,2,2019-06-26,Alliance Enterprises,Mumtaz Muhammad,544.502,2019,6,2019-06-01
102633,16926096,House,14500000,Islamabad,Islamabad Capital,33.650065,72.963681,5,4,2019-06-27,Twin Cities Real Estate,Ameer Khan,11979.043999999998,2019,6,2019-06-01
102635,16926442,House,30500000,Islamabad,Islamabad Capital,33.680211,72.816696,3,3,2019-06-26,Silver Estate,Ibrar Khan,1905.757,2019,6,2019-06-01
102636,16926632,House,10500000,Islamabad,Islamabad Capital,33.61641466,73.13463952,3,2,2019-06-26,MJ Properties,Mehmood Rafiq,1905.757,2019,6,2019-06-01
102637,16922168,House,70000,Rawalpindi,Punjab,33.531951,73.115215,6,5,2019-06-28,Excel Estate & Builder,Subhan,2722.51,2019,6,2019-06-01
102638,16923314,House,55000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102639,16923315,House,26000,Rawalpindi,Punjab,33.59247,73.01495,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1089.004,2019,6,2019-06-01
102640,16923316,Lower Portion,22000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102641,16923317,Upper Portion,32000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102642,16923318,Lower Portion,17000,Rawalpindi,Punjab,33.595247,73.023591,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102643,16923319,Upper Portion,14000,Rawalpindi,Punjab,33.595247,73.023591,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102644,16923320,Lower Portion,19000,Rawalpindi,Punjab,33.595247,73.023591,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",2178.008,2019,6,2019-06-01
102645,16923321,House,35000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102646,16923322,Lower Portion,18000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102647,16923323,Upper Portion,17000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102648,16923324,Lower Portion,18000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102649,16923325,Upper Portion,17000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102650,16923326,Upper Portion,18000,Rawalpindi,Punjab,33.595247,73.023591,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102651,16923327,House,8000,Rawalpindi,Punjab,33.59247,73.01495,0,2,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",816.7529999999999,2019,6,2019-06-01
102652,16923328,Room,8000,Rawalpindi,Punjab,33.59247,73.01495,0,1,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",816.7529999999999,2019,6,2019-06-01
102653,16923329,House,35000,Rawalpindi,Punjab,33.597548,73.014176,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102654,16923330,Upper Portion,10000,Rawalpindi,Punjab,33.59247,73.01495,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1089.004,2019,6,2019-06-01
102655,16923332,House,22000,Rawalpindi,Punjab,33.595247,73.023591,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",2722.51,2019,6,2019-06-01
102656,16923333,House,15000,Rawalpindi,Punjab,33.595247,73.023591,0,0,2019-06-28,Taj Property Center & Builders,"Abdul Wahab, Haseeb",1361.255,2019,6,2019-06-01
102657,16923435,Lower Portion,26000,Rawalpindi,Punjab,33.498711,73.104358,2,2,2019-06-28,Eiffel Estate,Umar Jamil,2178.008,2019,6,2019-06-01
